Case ID,Narrative Link.x,caseid_name,TIES,TIES Code,EUSANCT,GSDB,startmonth,startday,startyear,endmonth,endday,endyear,primarysender,targetstate,ongoingasofmonth,ongoingasofday,ongoingasofyear,sender1,sender2,sender3,sender4,sender5,institution,institutionid,targetinstitution,otherinstitution,issue1,issue2,issue3,otherissue,threat,threatid1,threatid2,threatid3,terminateaid,sanctiontypethreat,othersanctiontypethreatened,bspecif,scommit,threatenedtargetinterest,dsanctions,carrots,anticipatedtargetcosts,anticipatedtargetcostsfigureifav,tcurrency,tyearofestimate,anticipatedsendercosts,scurrency,syearofestimate,imposition,sancimpositionstartmonth,sancimpositionstartday,sancimpositionstartyear,sanctionidentity,sanctiontype,othersanctiontype,implementationofdiplomaticsancti,carrotsduringsanction,carrotvalue,carrotcurrency,carrotyear,targetcosts,targeteconomiccostsfigure,targeteconomiccostscurrency,targeteconomiccostsyear,sendercosts,sendereconomiccostsfigure,sendereconomiccostscurrency,sendereconomiccostsyear,finaloutcome,settlementnaturesender,settlementnaturetarget,
200504002710,https://docs.google.com/document/d/1QEjGSg0ple3s9jtFLnt1L0Djvq6V8iSf/export?format=pdf&ouid=104467973975587797882&rtpof=true&sd=true,US China Currency Dispute,0,,0,0,4,21,2005,,,,United States,China,,,,2,,,,,,,,,13,,,,1,2,,,,4,,1,2,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
200906002710,https://www.wto.org/english/tratop_e/dispu_e/cases_e/ds394_e.htm,WTO: US challenges China over measures related to raw materials,0,,0,0,4,17,2009,,,,United States,China,10,25,2010,2,,,,,1,4580,,,13,,,,0,,,,,3,,,,,,,1,,,,1,,,1,11,23,2009,6,3,,,,,,,1,,,,1,,,,9,,,
201704002710,https://docs.google.com/document/d/1IA9RYILxyd8dJoCVtf99wxZvasxYKEDq3HiOcvrFu9Y/export?format=pdf,US-China Steel Tariffs 2018,0,,0,0,3,,2016,,,,United States,China,,,,2,,,,,,,,,13,,,,1,1,,,,4,,2,3,,,,1,,,,1,,,1,3,,2016,1,3,,,,,,,,,,,,,,,,,,
201801002710,https://docs.google.com/document/d/1SPls2Vl_QYGRtWD1xTt5-4eUd3EakdYzFDUvZxlDneg/export?format=pdf,US Solar Panel and Washing Machine Tariffs,0,,0,0,1,23,2018,,,,United States,China,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201804002710,https://docs.google.com/document/d/165iHS56ywdTA6FcVUOc3QLDe3INCgmLLFtM9fpU9e4g/export?format=pdf,US bans Huawei and ZTE,0,,0,0,4,16,2018,6,7,2018,United States,China,,,,2,,,,,,,,,9,,,,1,1,,,,5,,,,,,,1,,,,1,,,1,6,7,2018,,5,,,,,,,1,,,,1,,,,2,,,
201808900710,https://docs.google.com/document/d/1MUQceWJx1W4gyzEktVzJrSt0K-xMwXOkymAux9rrHhw/export?format=pdf,Australia bans Huawei 5G,0,,0,0,8,23,2018,,,,Australia,China,,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201812740710,https://docs.google.com/document/d/1Eyn_5xwYjqa3CP1d1-s6cF6WHNhuV7l2UQFWVR51AF0/export?format=pdf,Japan ban Huawei and ZTE,0,,0,0,12,6,2018,,,,Japan,China,,,,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201812002710,https://docs.google.com/document/d/10EKyeLCH9XiPz28lfDRQD8OPEizuHG7mLgtcuqyAFjw/export?format=pdf,Meng Wanzhou Arrest,0,,0,0,12,1,2018,,,,Canada,China,9,22,2020,20,2,,,,,,,,9,7,,,0,,,,,11,,,,,,,,,,,,,,1,12,,2018,,11,,,,,,,,,,,,,,,9,,,
201704002710,https://docs.google.com/document/d/1c-YT8c0wI7olvHF4Ni6Tyy7VdRJ0z8THoGYpGb-BGkA/export?format=pdf,US-China Trade War List Tariffs,0,,0,0,4,4,2018,,,,United States,China,9,22,2020,2,,,,,0,,,,13,,,,1,6,,,,4,,,,,,,1,,,,1,,,1,7,6,2018,,4,,,,,,,1,,,,1,,,,9,,,
201910002710,https://docs.google.com/document/d/1cEL8vUBWFULWk0OzJzOP_RcJ4JPzFMh2/export?format=pdf&ouid=104467973975587797882&rtpof=true&sd=true,BIS entities list: Xinjiang,0,,0,0,10,7,2019,,,,United States,China,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202005002710,https://docs.google.com/document/d/1R9b_JubCkr5GQgHWqdj8nWL--2VMUmSjQbo64a1EotI/export?format=pdf,Uyghur Human Rights Policy Act,0,,0,0,5,14,2020,,,,United States,China,9,22,2020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202007002710,https://docs.google.com/document/d/12ESwdiLK3n8T6H-5zM5A7BGu3thctjH0kyJAm2U1P3I/export?format=pdf,Hong Kong Autonomy Act,0,,0,0,7,1,2020,,,,United States,China,9,22,2020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201808002710,https://docs.google.com/document/d/16mndIur-oHrLK_DBWwFVhdA32upzF5hHXNhefN1bYiQ/export?format=pdf,BIS entities list: Military-Civil Fusion,0,,0,0,5,22,2020,,,,United States,China,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012002710,https://docs.google.com/document/d/1lUoZSlIIPoXIG0FdRh34wapoeqtNy9O9xzNSt_vRwOo/export?format=pdf,BIS entities list: SMIC,0,,0,0,12,18,2020,,,,United States,China,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202006750710,https://docs.google.com/document/d/10fxZi6jJBeCN3qUjLJ5Te6jfYllzZAJ2/export?format=pdf&ouid=104467973975587797882&rtpof=true&sd=true,India bans 632 Chinese apps,0,,0,0,6,30,2020,,,,India,,9,22,2020,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202007200710,https://docs.google.com/document/d/10Lz0lU1L9cS3d7z5PTGqNPvUV0F786SK3A7t18lxu7w/export?format=pdf,UK bans Huawei 5G,0,,0,0,7,14,2020,,,,United Kingdom,China,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202008002710,https://docs.google.com/document/d/1qiovjUIRgbKosvbKbOK75UKpyfWoxtg80pWwThv2ZBE/export?format=pdf,US bans WeChat,0,,0,0,8,6,2020,,,,United States,China,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
